query,label,h_index1_mean,stance_score1_mean,current_score1_mean,recent_weighted_h_index1_mean,recent_weighted_citation_count1_mean,citation_count1_mean,h_index2_mean,stance_score2_mean,current_score2_mean,recent_weighted_h_index2_mean,recent_weighted_citation_count2_mean,citation_count2_mean,h_index3_mean,stance_score3_mean,current_score3_mean,recent_weighted_h_index3_mean,recent_weighted_citation_count3_mean,citation_count3_mean,h_index4_mean,stance_score4_mean,current_score4_mean,recent_weighted_h_index4_mean,recent_weighted_citation_count4_mean,citation_count4_mean,h_index5_mean,stance_score5_mean,current_score5_mean,recent_weighted_h_index5_mean,recent_weighted_citation_count5_mean,citation_count5_mean,h_indexall_mean,stance_scoreall_mean,current_scoreall_mean,recent_weighted_h_indexall_mean,recent_weighted_citation_countall_mean,citation_countall_mean,rel,h_index_stance_avg,citations_stance_avg
Guided imagery for treating hypertension in pregnancy,3,0,0,0,0,0,0,0,0,0,0,0,0,6.934306569343065,3.0,7.0,48.54014598540146,14.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,6.934306569343065,3.0,7.0,48.54014598540146,14.0,2.0,1,3.0,3.0
Homeopathy for chronic asthma,3,0,0,0,0,0,0,0,0,0,0,0,0,12.317518248175183,3.0,10.5,144.25182481751824,10.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,12.317518248175183,3.0,10.5,144.25182481751824,10.5,1.0,2,3.0,3.0
Music therapy for depression,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.64461678832117,4.0,15.375,181.50091240875912,133.625,8.875,5.234945255474452,5.0,13.875,71.53284671532846,85.5,7.5,8.43978102189781,4.5,14.625,126.5168795620438,109.5625,8.1875,16,4.310135135135135,4.458015267175573
Nutritional support for liver disease,1,14.507299270072993,1.0,16.0,232.1167883211679,0.0,0.0,0,0,0,0,0,0,8.941605839416058,3.0,4.0,35.76642335766423,0.0,0.0,8.599452554744525,4.0,9.75,82.2080291970803,33.25,4.0,7.372262773722627,5.0,12.0,81.98905109489051,49.0,4.4,8.609820836098208,4.090909090909091,10.818181818181818,91.51459854014598,34.36363636363637,3.4545454545454546,11,2.8561509084596692,4.523809523809524
Oral zinc for the prevention of hyperbilirubinaemia in neonates,1,4.06021897810219,1.0,13.5,55.01824817518248,21.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06021897810219,1.0,13.5,55.01824817518248,21.0,1.5,2,1.0,1.0
Probiotics for preventing gestational diabetes,3,28.01094890510949,1.0,16.0,448.17518248175185,32.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,6.97080291970803,4.0,15.0,104.98175182481752,38.6,2.6,15.145985401459853,5.0,12.0,181.75182481751824,264.0,22.0,11.144421272158498,3.7142857142857144,14.714285714285714,164.9765380604797,69.85714285714286,5.285714285714286,7,2.6257735711685473,4.601503759398496
Selenium supplementation for asthma,4,8.85036496350365,1.0,13.0,115.05474452554743,13.0,1.0,0,0,0,0,0,0,4.927007299270073,3.0,12.5,59.12408759124088,19.0,1.5,0.0,4.0,12.0,0.0,0.0,0.0,6.605839416058394,5.0,12.0,64.63503649635037,15.2,1.4,5.748175182481752,4.0,12.222222222222221,61.830900243309,14.11111111111111,1.2222222222222223,9,2.7797672336615933,3.2051282051282053
Vitamin B6 for cognition,2,0,0,0,0,0,0,11.952554744525548,2.0,6.0,71.71532846715328,6.0,1.0,10.918491484184914,3.0,13.333333333333334,145.19464720194648,5.0,0.3333333333333333,12.545620437956204,4.0,13.333333333333334,163.76216545012164,3.3333333333333335,0.3333333333333333,16.514598540145986,5.0,5.0,82.57299270072993,0.0,0.0,12.40875912408759,3.6363636363636362,11.909090909090908,142.9495686794957,3.727272727272727,0.36363636363636365,11,3.647437774524158,2.6
Vitamin E for intermittent claudication,3,22.901459854014597,1.0,15.0,343.52189781021895,0.0,0.0,0,0,0,0,0,0,14.05109489051095,3.0,2.0,28.1021897810219,0.0,0.0,4.562043795620438,4.0,7.0,31.934306569343068,3.5,0.5,0,0,0,0,0,0,11.519160583941607,3.0,7.75,108.87317518248175,1.75,0.25,5,2.006593406593407,4.0
Xuebijing for paraquat poisoning,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0985401459854014,5.0,15.0,31.47810218978102,0.0,0.0,2.0985401459854014,5.0,15.0,31.47810218978102,0.0,0.0,1,5.0,1
Yoga for stroke rehabilitation,4,0,0,0,0,0,0,0,0,0,0,0,0,5.109489051094891,3.0,14.0,71.53284671532847,42.0,3.0,8.416970802919709,4.0,12.75,104.53923357664235,52.25,4.875,14.68978102189781,5.0,14.0,205.65693430656933,154.0,11.0,8.713503649635038,4.0,13.0,111.35036496350365,61.4,5.3,10,4.339531123686338,4.423841059602649
Acupuncture for the prevention of episodic migraine,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.592457420924575,4.0,12.666666666666666,57.785888077858885,59.666666666666664,7.666666666666667,9.420620437956204,5.0,11.75,91.97080291970804,152.5,16.5,7.35140771637122,4.571428571428571,12.142857142857142,77.32012513034411,112.71428571428571,12.714285714285714,7,4.6722734671730874,4.682758620689655
Cinnamon for diabetes mellitus,3,30.01824817518248,1.0,11.0,330.2007299270073,88.0,8.0,14.233576642335766,2.0,12.5,158.5310218978102,65.0,6.0,5.687347931873479,3.0,14.666666666666666,83.81995133819952,86.33333333333333,6.333333333333333,10.469890510948904,4.0,13.0,137.78512773722628,107.125,8.75,13.75456204379562,5.0,13.5,150.91240875912408,126.5,14.75,11.906934306569344,3.6666666666666665,13.222222222222221,144.7029602595296,102.22222222222223,9.333333333333334,18,2.5106622923928645,3.3707224334600765
Cranberries for preventing urinary tract infections,2,12.195863746958636,1.0,13.666666666666666,171.1374695863747,126.0,8.666666666666666,14.416058394160585,2.0,16.0,230.65693430656935,96.0,6.0,12.773722627737227,3.0,12.0,167.24452554744525,75.0,6.0,5.656934306569343,4.0,12.5,50.912408759124084,88.5,7.5,5.41970802919708,5.0,13.4,70.21897810218978,70.8,5.6,9.124087591240876,3.357142857142857,13.214285714285714,121.33733055265903,87.85714285714286,6.642857142857143,14,2.5578592092574737,2.8627838104639682
Ginkgo biloba for cognitive impairment and dementia,2,37.13503649635037,1.0,12.5,513.4580291970804,290.0,20.5,22.354014598540147,2.0,14.0,312.95620437956205,140.0,10.0,19.829683698296837,3.0,12.0,245.8941605839416,149.0,12.666666666666666,4.7627737226277365,4.0,9.2,42.31751824817518,56.8,9.0,7.481751824817518,5.0,11.5,82.52737226277372,87.75,7.0,13.990267639902676,3.533333333333333,11.133333333333333,174.61678832116786,120.13333333333334,10.8,15,2.1601674084900018,2.526760563380282
Glucosamine therapy for treating osteoarthritis,1,0,0,0,0,0,0,0,0,0,0,0,0,15.054744525547445,3.0,16.0,240.87591240875912,16.0,1.0,16.449426485922835,4.0,11.285714285714286,184.07194994786235,57.714285714285715,5.142857142857143,3.3454987834549876,5.0,13.0,48.11435523114355,62.666666666666664,4.666666666666667,12.748838752488387,4.181818181818182,12.181818181818182,152.15660252156601,55.27272727272727,4.636363636363637,11,3.664006981673108,4.33920704845815
Honey for acute cough in children,4,0,0,0,0,0,0,0,0,0,0,0,0,22.354014598540147,3.0,9.5,212.36313868613138,44.0,4.5,8.954640250260686,4.0,11.571428571428571,109.30656934306569,68.28571428571429,9.0,5.364963503649635,5.0,10.6,52.06204379562043,44.6,5.2,9.586809176225232,4.214285714285714,10.928571428571429,103.58446298227318,56.357142857142854,7.0,14,3.53675007108331,4.0374331550802145
Omega 3 fatty acids for the treatment of dementia,2,0,0,0,0,0,0,12.317518248175181,2.0,12.0,162.86496350364962,308.0,44.333333333333336,9.908759124087592,3.0,13.6,134.12408759124088,148.4,11.0,12.828467153284672,4.0,14.6,190.71167883211677,248.2,18.6,10.538321167883211,5.0,14.0,147.62773722627736,280.0,22.0,11.447688564476886,3.4,13.666666666666666,160.53527980535281,231.13333333333333,21.666666666666668,16,3.4734840904542725,3.19041000694927
Probiotics  acute infectious diarrhoea,5,5.748175182481752,1.0,14.666666666666666,87.80413625304136,15.666666666666666,1.0,0,0,0,0,0,0,13.169099756690997,3.0,12.333333333333334,183.21167883211675,60.333333333333336,5.333333333333333,10.112530413625304,4.0,11.166666666666666,110.38625304136251,96.83333333333333,9.333333333333334,5.761209593326382,5.0,11.428571428571429,78.98852971845672,31.857142857142858,2.4285714285714284,8.302919708029197,3.736842105263158,12.0,106.75182481751825,54.31578947368421,4.842105263157895,19,3.2914142990945985,3.673684210526316
Vitamin C for preventing and treating the common cold,2,10.94890510948905,1.0,4.0,43.7956204379562,16.0,4.0,22.354014598540147,2.0,6.666666666666667,149.02676399026765,99.33333333333333,13.0,0,0,0,0,0,0,6.888686131386862,4.0,10.833333333333334,71.25912408759123,44.0,4.333333333333333,5.839416058394161,5.0,4.0,22.992700729927005,3.0,1.5,10.918491484184914,3.4166666666666665,8.083333333333334,80.36800486618006,48.666666666666664,6.0,12,2.4420218037661052,2.4014598540145986
Chinese herbal medicine for atopic eczema,3,14.68978102189781,1.0,3.0,44.06934306569343,21.0,7.0,7.846715328467154,2.0,2.0,15.693430656934307,14.0,7.0,8.211678832116789,3.0,15.5,126.45985401459855,45.5,3.0,8.813868613138686,4.0,9.8,103.64963503649633,13.0,1.4,7.778284671532846,5.0,13.75,96.85218978102189,57.25,5.0,8.780179674340259,3.769230769230769,10.76923076923077,93.71841661987648,32.30769230769231,3.6153846153846154,13,2.728437891490797,2.58974358974359
Balneotherapy (or spa therapy) for rheumatoid arthritis,3,0,0,0,0,0,0,0,0,0,0,0,0,14.005474452554747,3.0,9.5,75.59306569343066,6.5,2.0,7.39051094890511,4.0,5.333333333333333,31.204379562043794,30.333333333333332,6.666666666666667,4.714111922141119,5.0,10.666666666666666,51.15571776155718,20.666666666666668,2.0,9.233576642335766,3.9,8.6,54.94525547445255,17.9,3.4,10,3.6441467676179378,4.0
Rutosides for prevention of post-thrombotic syndrome,3,22.26277372262774,1.0,13.333333333333334,296.8369829683698,30.666666666666668,2.3333333333333335,0,0,0,0,0,0,22.962287104622874,3.0,11.333333333333334,259.3065693430657,55.666666666666664,5.333333333333333,18.582725060827247,4.0,8.0,138.80778588807786,85.66666666666667,10.666666666666666,0,0,0,0,0,0,21.26926196269262,2.6666666666666665,10.88888888888889,231.65044606650443,57.333333333333336,6.111111111111111,9,2.5934223069590083,3.3272727272727276
Hypnosis for induction of labour,3,0,0,0,0,0,0,0,0,0,0,0,0,14.142335766423358,3.0,14.5,201.0036496350365,218.0,15.5,22.26277372262774,4.0,6.5,144.7080291970803,74.0,10.0,0,0,0,0,0,0,18.20255474452555,3.5,10.5,172.8558394160584,146.0,12.75,4,3.6115288220551376,3.392156862745098
Herbal preparations for uterine fibroids,3,0,0,0,0,0,0,0,0,0,0,0,0,22.26277372262774,3.0,12.0,267.15328467153284,36.0,3.0,1.687956204379562,4.0,10.0,10.127737226277372,47.0,4.5,4.27007299270073,5.0,8.0,38.57664233576643,11.0,1.2,5.873631386861314,4.5,9.0,60.03649635036496,23.125,2.25,8,3.3624312964759135,3.7931034482758625
Melatonin for the treatment of dementia,2,13.731751824817518,1.0,12.0,167.9288321167883,76.0,6.0,10.583941605839415,2.0,12.0,127.00729927007299,72.0,6.0,11.13138686131387,3.0,15.0,178.1021897810219,28.0,2.0,9.89051094890511,4.0,14.0,141.77007299270076,15.0,1.0,1.322992700729927,5.0,11.0,17.19890510948905,19.5,1.5,9.367396593673964,3.3333333333333335,13.166666666666666,130.19312652068126,32.833333333333336,2.5,12,2.4532655455612042,2.1515151515151514
Therapeutic touch for anxiety disorders,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.375912408759124,4.0,13.0,43.88686131386861,0.0,0.0,3.8625304136253042,5.0,10.0,37.86496350364963,14.0,1.3333333333333333,3.740875912408759,4.75,10.75,39.37043795620438,10.5,1.0,4,4.533613445378152,5.0
Low-fat diets for acquired hypercholesterolaemia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.678832116788321,5.0,12.0,140.14598540145985,24.0,2.0,11.678832116788321,5.0,12.0,140.14598540145985,24.0,2.0,1,5.0,5.0
Music interventions for preoperative anxiety,5,5.930656934306569,1.0,11.0,65.23722627737226,44.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,7.70985401459854,4.0,10.333333333333334,72.11070559610705,52.333333333333336,5.5,7.268856447688565,5.0,13.777777777777779,86.97283049472831,34.0,4.0,7.35059306569343,4.375,12.3125,80.04105839416059,41.5,4.5625,16,3.4967272727272727,3.4074074074074074
Valerian for anxiety disorders,3,12.317518248175183,1.0,15.0,184.76277372262774,30.0,2.0,0.0,2.0,10.0,0.0,20.0,2.0,11.952554744525548,3.0,10.0,119.52554744525548,20.0,2.0,6.158759124087591,4.0,11.166666666666666,72.00425790754258,4.333333333333333,0.3333333333333333,9.397810218978103,5.0,11.0,103.37591240875913,22.0,2.0,7.062043795620438,3.5,11.3,83.96897810218978,11.8,1.0,10,3.008018327605956,2.8000000000000007
Acupuncture for glaucoma,3,0,0,0,0,0,0,0,0,0,0,0,0,16.605839416058394,3.0,7.0,133.2116788321168,39.0,6.0,2.6003649635036497,4.0,15.0,40.237226277372265,8.0,0.5,3.3454987834549876,5.0,13.0,43.49148418491484,12.666666666666666,1.0,6.921272158498435,4.142857142857143,11.857142857142858,68.19603753910324,18.857142857142858,2.2857142857142856,7,3.4120026972353332,3.3333333333333335
Phlebotonics for haemorrhoids,4,0,0,0,0,0,0,0,0,0,0,0,0,22.26277372262774,3.0,9.0,200.36496350364965,18.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,22.26277372262774,3.0,9.0,200.36496350364965,18.0,2.0,1,3.0,3.0
Acupuncture for mumps in children,3,0,0,0,0,0,0,0,0,0,0,0,0,17.38138686131387,3.0,14.5,244.7080291970803,14.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,17.38138686131387,3.0,14.5,244.7080291970803,14.5,1.0,2,3.0,3.0
Vitamin B for treating peripheral neuropathy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05109489051095,4.0,12.6,117.7189781021898,8.8,1.2,0,0,0,0,0,0,9.05109489051095,4.0,12.6,117.7189781021898,8.8,1.2,5,4.0,4.0
Thermotherapy for treating rheumatoid arthritis,4,0,0,0,0,0,0,22.26277372262774,2.0,16.0,356.2043795620438,0.0,0.0,0.0,3.0,8.0,0.0,8.0,1.0,15.115571776155718,4.0,12.0,231.41727493917278,0.0,0.0,12.773722627737227,5.0,10.5,167.33576642335765,0.0,0.0,13.30813347236705,3.857142857142857,11.571428571428571,197.87539103232535,1.1428571428571428,0.14285714285714285,7,3.366889023650697,3.0
Horticultural therapy for schizophrenia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.885036496350365,4.0,14.5,84.03284671532846,61.5,4.5,0,0,0,0,0,0,5.885036496350365,4.0,14.5,84.03284671532846,61.5,4.5,2,4.0,4.0
Vitamin C for preventing and treating pneumonia,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.085766423357663,4.0,6.75,84.48905109489051,28.0,3.75,8.74087591240876,5.0,9.6,63.412408759124084,104.4,15.6,9.783049472830493,4.555555555555555,8.333333333333334,72.77980535279806,70.44444444444444,10.333333333333334,9,4.440865163368615,4.8062015503875966
Phlebotonics for venous insufficiency,4,22.26277372262774,1.0,14.0,311.6788321167883,7.5,0.5,0,0,0,0,0,0,22.26277372262774,3.0,5.0,111.3138686131387,25.0,5.0,22.26277372262774,4.0,13.5,300.5474452554745,31.5,2.5,2.4635036496350367,5.0,14.0,34.48905109489051,0.0,0.0,17.312956204379564,3.25,11.625,189.507299270073,16.0,2.0,8,2.7496706192358373,3.1875
Creatine for treating muscle disorders,5,6.478102189781022,1.0,8.0,37.86496350364963,12.5,2.5,20.20985401459854,2.0,7.0,131.47810218978103,60.0,8.0,0,0,0,0,0,0,30.2007299270073,4.0,3.0,90.60218978102189,30.0,10.0,0.0,5.0,10.0,0.0,60.0,6.0,13.929440389294404,2.5,7.166666666666667,71.54805352798053,39.166666666666664,6.166666666666667,6,2.9478748997594226,3.339622641509434
Thymic peptides for treatment of cancer patients,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.905109489051096,4.0,6.0,206.93430656934305,31.5,3.5,31.478102189781023,5.0,8.0,251.82481751824818,104.0,13.0,26.429440389294403,4.333333333333333,6.666666666666667,221.8978102189781,55.666666666666664,6.666666666666667,3,4.56836902800659,4.787878787878788
Acupuncture for stroke rehabilitation,4,12.226277372262773,1.0,13.0,158.94160583941604,52.0,4.0,15.41970802919708,2.0,4.0,61.67883211678832,32.0,8.0,12.5,3.0,14.0,155.47445255474452,156.0,13.0,6.295620437956204,4.0,15.8,98.1021897810219,15.4,1.0,5.636658556366585,5.0,15.777777777777779,90.0750202757502,24.666666666666668,1.5555555555555556,7.491889699918897,4.111111111111111,14.777777777777779,101.81974858069749,38.611111111111114,3.1666666666666665,18,2.5717344753747327,2.568548387096774
Hypnosis for schizophrenia,3,0,0,0,0,0,0,0,0,0,0,0,0,22.26277372262774,3.0,13.0,289.4160583941606,13.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,22.26277372262774,3.0,13.0,289.4160583941606,13.0,1.0,1,3.0,3.0
Acupuncture for epilepsy,2,6.934306569343065,1.0,1.5,10.401459854014599,5.5,4.5,22.26277372262774,2.0,9.0,200.36496350364965,46.0,5.0,7.968369829683698,3.0,9.666666666666666,77.5243309002433,35.333333333333336,3.6666666666666665,5.200729927007299,4.0,12.0,67.88321167883213,20.0,2.5,2.995742092457421,5.0,11.166666666666666,33.5918491484185,33.5,3.0,7.378345498783456,3.533333333333333,9.4,66.09489051094891,30.0,3.533333333333333,15,2.4502179014415018,2.7053571428571432
Fermented milk for hypertension,1,8.302919708029197,1.0,14.0,116.24087591240877,56.0,4.0,5.383211678832117,2.0,14.0,75.36496350364963,70.0,5.0,13.458029197080293,3.0,11.0,150.31934306569343,51.5,5.5,12.89537712895377,4.0,10.0,126.0036496350365,47.0,5.333333333333333,10.647810218978103,5.0,10.5,114.09671532846714,50.8,5.3,10.927436668097897,4.176470588235294,10.882352941176471,118.30721339630742,51.64705882352941,5.235294117647059,17,3.2407296291851675,3.116710875331565
Interventions for ingrowing toenails,5,2.0985401459854014,1.0,14.0,29.37956204379562,0.0,0.0,0,0,0,0,0,0,1.551094890510949,3.0,9.0,13.959854014598541,9.0,1.0,5.018248175182482,4.0,6.75,32.73266423357664,18.5,2.75,10.867802108678022,5.0,10.444444444444445,101.84509326845094,24.11111111111111,2.3333333333333335,8.102189781021899,4.333333333333333,9.6,72.72506082725062,20.0,2.2,15,4.1546445251686555,4.219178082191781
